,,,,,,,,,,,,,,,COMPOSITION OF GOVERNMENT DEBT,,,,,,,,,,,,,,,
Year,Month,Repo Rate,Reverse Repo Rate,Interbank Rate,Cash Reserve Requirement Rate,Central Bank Rate,North America Diaspora Remittances  (USD '000),Europe Diaspora Remittances  (USD '000),Rest of World Diaspora Remittances  (USD '000),Not Allocated (USD '000),Commercial Banks Weighted Average Deposit Rate,Commercial Banks Weighted Average Savings Rate,Commercial Banks Weighted Average Lending Rate,Commercial Banks Weighted Average Overdraft Rate,Treasury Bills* (shillings million),Treasury Bonds (shillings million),Government Stocks (shillings million),Overdraft at Central Bank (shillings million),Advances from Commercial Banks (shillings million),Other Domestic Debt** (shillings million),External Debt (shillings million),Average Annual Inflation Rate,Nairobi Upper Income Inflation Rate,Nairobi Middle Income Inflation Rate,Nairobi Lower Income Inflation Rate,Rest of Kenya Inflation Rate,Consumer Price Index,Real Estate Growth (shillings million - Annual),Nominal Annual GDP (shillings million - Annual),Annual GDP Rate
1991,July,-,-,,-,-,,,,,13.5,12.97,16.71,16.15,,,,,,,,,,,,,7.13,,,
1991,August,-,-,,-,-,,,,,13.59,13.24,16.42,13.79,,,,,,,,,,,,,7.16,,,
1991,September,-,-,,-,-,,,,,13.49,13.1,17.26,16.95,,,,,,,,,,,,,7.34,,,
1991,October,-,-,,,,,,,,13.47,13.3,17.78,17.53,,,,,,,,,,,,,7.35,,,
1991,November,-,-,,,,,,,,13.7,13.37,17.94,18,,,,,,,,,,,,,7.4,,,
1991,December,-,-,,,,,,,,13.73,13.22,17.87,17.91,,,,,,,,,,,,,7.44,,,
1992,January,-,-,,,,,,,,13.71,13.18,17.13,15.05,,,,,,,,,,,,,7.57,,,
1992,February,-,-,,,,,,,,13.83,13.3,17.61,16.37,,,,,,,,,,,,,7.64,,,
1992,March,-,-,,,,,,,,13.85,13.45,18.12,18.47,,,,,,,,,,,,,8.31,,,
1992,April,-,-,,,,,,,,13.76,13.38,17.37,15.3,,,,,,,,,,,,,8.38,,,
1992,May,-,-,,,,,,,,13.66,13.16,18.53,18.81,,,,,,,,,,,,,8.65,,,
1992,June,-,-,,,,,,,,13.65,13.43,18.54,18.7,,,,,,,,,,,,,9.54,,,
1992,July,-,-,,,,,,,,13.61,13.5,18.68,18.95,,,,,,,,,,,,,9.43,,,
1992,August,-,-,,,,,,,,13.61,13.4,18.62,19.02,,,,,,,,,,,,,9.47,,,
1992,September,-,-,,,,,,,,13.81,13.47,18.95,19.07,,,,,,,,,,,,,9.63,,,
1992,October,-,-,,,,,,,,14.23,13.41,19.47,19.73,,,,,,,,,,,,,9.51,,,
1992,November,-,-,,,,,,,,14.29,13.28,19.15,19.64,,,,,,,,,,,,,9.66,,,
1992,December,-,-,,,,,,,,14.39,13.23,19.51,19.76,,,,,,,,,,,,,9.94,,,
1993,January,-,-,,,,,,,,14.24,13.15,19.57,19.75,,,,,,,,,,,,,10.01,,,
1993,February,-,-,,,,,,,,14.25,13.28,19.7,19.86,,,,,,,,,,,,,10.81,,,
1993,March,-,-,,,,,,,,14.45,13.19,19.82,19.96,,,,,,,,,,,,,11.15,,,
