Year,Month,Dollar Rate
1993,1,36.23
1993,2,36.56
1993,3,43.12
1993,4,51.88
1993,5,62.16
1993,6,64.15
1993,7,65.33
1993,8,65.42
1993,9,65.8
1993,10,67.97
1993,11,68.98
1993,12,68.41
1994,1,67.93
1994,2,67.41
1994,3,66.05
1994,4,62.78
1994,5,58.05
1994,6,56.17
1994,7,55.97
1994,8,55.53
1994,9,51.66
1994,10,42.38
1994,11,43.5
1994,12,45.18
1995,1,44.48
1995,2,44.47
1995,3,44.14
1995,4,43.99
1995,5,51.89
1995,6,53.62
1995,7,56.59
1995,8,55.7
1995,9,55.43
1995,10,55.52
1995,11,55.54
1995,12,55.8
1996,1,56.71
1996,2,58.29
1996,3,58.41
1996,4,58.37
1996,5,58.24
1996,6,57.99
1996,7,57.31
1996,8,56.99
1996,9,56.43
1996,10,55.86
1996,11,55.62
1996,12,55.15
1997,1,54.74
1997,2,54.93
1997,3,54.89
1997,4,54.38
1997,5,53.75
1997,6,54.24
1997,7,57.36
1997,8,67.12
1997,9,63.77
1997,10,62.64
1997,11,63.93
1997,12,63.05
1998,1,61.16
1998,2,60.52
1998,3,60.13
1998,4,59.61
1998,5,62.6
1998,6,60.52
1998,7,59.34
1998,8,59.37
1998,9,60.01
1998,10,59.87
1998,11,59.63
1998,12,61.82
1999,1,61.8
1999,2,62.5
1999,3,64.01
1999,4,65.65
1999,5,68.82
1999,6,73.61
1999,7,73.1
1999,8,74.41
1999,9,75.68
1999,10,75.57
1999,11,74.79
1999,12,73.94
2000,1,70.68
2000,2,73.22
2000,3,74.43
2000,4,74.36
2000,5,75.97
2000,6,77.55
2000,7,76.41
2000,8,76.45
2000,9,78.2
2000,10,79.26
2000,11,78.86
2000,12,78.73
2001,1,78.61
2001,2,78.25
2001,3,77.75
2001,4,77.5
2001,5,78.54
2001,6,78.62
2001,7,79.02
2001,8,78.91
2001,9,78.95
2001,10,78.97
2001,11,78.96
2001,12,78.69
2002,1,78.6
2002,2,78.25
2002,3,78.06
2002,4,78.27
2002,5,78.32
2002,6,78.66
2002,7,78.8
2002,8,78.57
2002,9,78.81
2002,10,79.32
2002,11,79.57
2002,12,79.53
2003,1,77.72
2003,2,76.84
2003,3,76.58
2003,4,75.66
2003,5,71.61
2003,6,73.72
2003,7,74.75
2003,8,75.96
2003,9,77.9
2003,10,77.77
2003,11,76.74
2003,12,76.02
2004,1,76.3
2004,2,76.39
2004,3,77.26
2004,4,77.91
2004,5,79.24
2004,6,79.27
2004,7,79.99
2004,8,80.83
2004,9,80.72
2004,10,81.2
2004,11,81.2
2004,12,79.77
2005,1,77.93
2005,2,76.94
2005,3,74.8
2005,4,76.15
2005,5,76.4
2005,6,76.68
2005,7,76.23
2005,8,75.81
2005,9,74.1
2005,10,73.71
2005,11,74.74
2005,12,73.11
2006,1,72.21
2006,2,71.8
2006,3,72.28
2006,4,71.3
2006,5,71.76
2006,6,73.41
2006,7,73.66
2006,8,72.87
2006,9,72.87
2006,10,72.29
2006,11,71.13
2006,12,69.63
2007,1,69.89
2007,2,69.62
2007,3,69.29
2007,4,68.58
2007,5,67.19
2007,6,66.58
2007,7,67.07
2007,8,66.95
2007,9,67.02
2007,10,66.85
2007,11,65.49
2007,12,63.3
2008,1,68.08
